Account,date,Net PnL,Size USD,Fee,Trade Count,sentiment_value,rolling_7d_Net PnL_mean,rolling_7d_Net PnL_std,rolling_7d_Size USD_mean,rolling_7d_Size USD_std,rolling_7d_Trade Count_mean,rolling_7d_Trade Count_std,next_day_pnl,target_profitable,target_volatility,pred_profitability,pred_volatility
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,-94.93798300000002,949380.0,94.93798300000002,40,83.0,-110.20588433333334,51.67645039117625,797557.77,222288.39533859008,95.0,72.38093671679029,-21260.823995,0,12227.94739222436,0,11614.708422951477
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21260.823995,338240.0,33.823995,12,94.0,-5397.860412,10575.393227653454,682728.3275,292719.3603566052,74.25,72.21437991609889,1498.4775100000002,1,12705.113856250986,1,21780.75609965371
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1498.4775100000002,465700.0,104.62249,27,79.0,-4018.5928276,9663.907169799748,639322.662,271447.4662493178,64.8,66.01287753158469,-132402.679967,0,71647.30505233796,0,52068.199424016515
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132402.679967,1316799.98,131.679967,82,77.0,-25415.940684166668,53120.54078413278,752235.5483333333,368025.67973890784,67.66666666666667,59.45979033486972,-390.921553,0,76768.25967596234,0,73170.3514964615
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,-390.921553,1116918.77,390.921553,23,84.0,-21840.93795114286,49406.049455373606,804333.1514285716,363136.6214809797,61.285714285714285,56.84398029024793,-175732.230048,0,91331.93009978945,0,84033.24831133669
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175732.230048,1212299.96,121.229992,33,72.0,-46921.57137871429,74671.81957116676,848821.6985714287,394645.456327624,40.71428571428572,25.28315833194292,70613.627658,1,126802.01239353477,1,96649.26746320217
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,70613.627658,5306093.62,780.33644,465,77.0,-36824.21262542857,85985.31096201434,1529347.4757142856,1706167.7176746826,97.42857142857144,163.60201419181564,40194.628505,1,134310.58866357873,1,103214.4721680657
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40194.628505,479429.99,23.971493,51,76.0,-31068.56027,90103.4699132662,1462211.76,1741668.917478402,99.0,163.01022462819114,76617.076504,1,19527.55158639791,1,48560.58919001796
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76617.076504,1858470.0,92.923496,10,60.0,-17086.00305585714,99031.33601316948,1679387.4742857143,1671526.983929373,98.71428571428572,163.18978142611982,98656.647368,1,29524.410949943547,1,36526.43081791418
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,98656.647368,19794543.66,2355.038296,839,44.0,-3206.264504714289,108432.52993514722,4440650.854285714,6953150.759661713,214.7142857142857,318.4528820645813,374916.070873,1,166226.40273671976,1,135575.3855093817
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,374916.070873,5616220.88,704.19937,531,72.0,69267.84275814286,163331.4597514187,5054853.840000001,6819831.820586016,278.85714285714283,332.18891641726424,43700.804223,1,177502.56647586977,1,175259.276476428
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,43700.804223,5582863.31,700.101577,210,54.0,75566.66072614284,161031.36274585352,5692845.917142856,6595236.418783128,305.57142857142856,315.2722934982061,30897.0887,1,195028.43728055464,1,183002.53068417494
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,1432708.93,0.0,141,46.0,105085.134833,121333.8745584704,5724332.912857143,6570760.9348375,321.0,302.0767010766195,55086.0,1,12101.385898275168,1,61354.21539128418
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,1537560.0,0.0,48,43.0,102866.90231042856,122207.90991904389,5185970.967142857,6762330.759463426,261.42857142857144,309.96067338876884,0.0,0,27610.99091550011,1,83555.67460632132
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,807600.01,0.0,6,47.0,97124.812524,126511.9388317954,5232852.39857143,6725299.534727665,255.0,315.47001970604646,9590.895707,1,29428.606239206383,1,49043.88793066265
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,9590.895707,1603504.46,561.226533,59,49.0,87549.64383871427,130787.01284345056,5196428.75,6747275.327901455,262.0,309.6169676659641,114889.506777,1,63743.47226866457,1,66388.46788413654
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,114889.506777,2898197.14,555.888761,219,25.0,89868.62375428571,131160.15354915042,2782664.9614285715,2022682.4730851068,173.42857142857142,177.5676933292927,115149.726025,1,60869.43932909809,1,51199.462599752325
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115149.726025,1372739.97,137.273975,55,16.0,52759.14591885714,46485.13898874788,2176453.402857143,1629614.9076350613,105.42857142857144,84.63816543155396,9475.503421,1,60936.06094445172,1,51269.18107185536
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9475.503421,134360.89,6.71802,45,20.0,47869.817232857145,49310.73292469645,1398095.9142857145,842565.44736875,81.85714285714286,72.81123670475765,533706.368278,1,277240.780960577,0,31172.735219822433
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533706.368278,5365898.24,268.294625,641,33.0,119699.7143154286,188953.9768933009,1959980.101428572,1722002.688507229,153.28571428571428,225.5502266944212,40160.180002,1,294207.2367700948,1,255961.64580659036
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40160.180002,398200.0,39.819998,5,45.0,117567.45431571428,189886.5503465078,1797214.3871428573,1819662.4757655603,147.14285714285714,229.44747298051223,307789.17934000003,1,247066.69056015223,1,236756.03019776245
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,-1.31668822,48513.58,1.31668822,34,72.0,3893.315239263333,6744.560121864512,61453.64666666667,68841.86333843479,30.0,27.2213151776324,3509.828217,1,2026.780467965949,1,2050.6454245495224
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3509.828217,52028.630000000005,5.202848,26,75.0,3797.4434836975,5510.247399076058,59097.3925,56406.3456837694,29.0,22.3159136044214,-1.4383267,0,2027.1955711094756,0,2257.907937941567
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,-1.4383267,52066.88,1.4383267,46,78.0,3037.667121618,5065.414139154088,57691.29,48950.40854017665,32.4,20.767763480933617,2498.682783,1,1807.485057235308,1,3112.3674354092086
