Account,date,Net PnL,Size USD,Fee,Trade Count,sentiment_value,rolling_7d_Net PnL_mean,rolling_7d_Net PnL_std,rolling_7d_Size USD_mean,rolling_7d_Size USD_std,rolling_7d_Trade Count_mean,rolling_7d_Trade Count_std,next_day_pnl,target_profitable,target_volatility
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,-94.93798300000002,949380.0,94.93798300000002,40,83.0,-110.20588433333334,51.67645039117625,797557.77,222288.39533859008,95.0,72.38093671679029,-21260.823995,0,12227.947392224361
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21260.823995,338240.0,33.823995,12,94.0,-5397.860412,10575.393227653454,682728.3275,292719.3603566052,74.25,72.21437991609889,1498.4775100000002,1,12705.113856250986
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1498.4775100000002,465700.0,104.62249,27,79.0,-4018.5928276,9663.907169799748,639322.662,271447.4662493178,64.8,66.01287753158469,-132402.679967,0,71647.30505233796
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132402.679967,1316799.98,131.679967,82,77.0,-25415.940684166668,53120.54078413278,752235.5483333333,368025.67973890784,67.66666666666667,59.459790334869716,-390.921553,0,76768.25967596234
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,-390.921553,1116918.77,390.921553,23,84.0,-21840.93795114286,49406.049455373606,804333.1514285716,363136.6214809797,61.285714285714285,56.84398029024793,-175732.230048,0,91331.93009978943
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175732.230048,1212299.96,121.229992,33,72.0,-46921.57137871429,74671.81957116676,848821.6985714287,394645.456327624,40.714285714285715,25.283158331942918,70613.627658,1,126802.01239353477
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,70613.627658,5306093.62,780.33644,465,77.0,-36824.21262542857,85985.31096201434,1529347.4757142856,1706167.7176746826,97.42857142857143,163.60201419181564,40194.628505,1,134310.58866357873
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40194.628505,479429.99,23.971493,51,76.0,-31068.560269999998,90103.4699132662,1462211.76,1741668.9174784021,99.0,163.01022462819114,76617.076504,1,19527.55158639791
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76617.076504,1858470.0,92.923496,10,60.0,-17086.00305585714,99031.33601316948,1679387.4742857143,1671526.9839293733,98.71428571428571,163.18978142611982,98656.64736799999,1,29524.410949943547
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,98656.64736799999,19794543.66,2355.038296,839,44.0,-3206.264504714289,108432.52993514722,4440650.854285714,6953150.759661713,214.71428571428572,318.4528820645813,374916.070873,1,166226.40273671976
